agency_id,agency_name,grade,score,checked,expiry_status,days_until_expiry,needs_attention,attention_reason,top_fix,shapes_txt_status
adirondack-trailways-nyp,Adirondack Trailways NYP,F,42.5,2026-07-06,current,1639,no,,Review the rule documentation for 'trip_distance_exceeds_shape_distance' at https://gtfs-validator.mobilitydata.org/rules.html and check the flagged rows in your feed.,
adirondack-trailways-adp,Adirondack Trailways ADP,F,45.1,2026-07-06,current,1639,no,,Review the rule documentation for 'trip_distance_exceeds_shape_distance' at https://gtfs-validator.mobilitydata.org/rules.html and check the flagged rows in your feed.,
nassau-inter-county-express-nice-bus,Nassau Inter-County Express (NICE Bus),F,46.1,2026-07-06,current,68,no,,Review the rule documentation for 'trip_distance_exceeds_shape_distance' at https://gtfs-validator.mobilitydata.org/rules.html and check the flagged rows in your feed.,
chautauqua-area-regional-transit-system-carts,Chautauqua Area Regional Transit System (CARTS),F,46.3,2026-07-06,current,178,no,,Review the rule documentation for 'trip_distance_exceeds_shape_distance' at https://gtfs-validator.mobilitydata.org/rules.html and check the flagged rows in your feed.,
centro,Centro,F,47.5,2026-07-06,current,62,no,,Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.,
lewis-county-public-transportation,Lewis County Public Transportation,F,48.2,2026-07-06,current,360,no,,Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.,
sullivan-county-transit,Sullivan County Transit,F,51.7,2026-07-06,current,178,no,,Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.,
ulster-county-area-transit,Ulster County Area Transit,F,53.3,2026-07-06,current,178,no,,Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.,
greene-county-transit,Greene County Transit,F,54.8,2026-07-06,current,179,no,,Review the rule documentation for 'trip_distance_exceeds_shape_distance' at https://gtfs-validator.mobilitydata.org/rules.html and check the flagged rows in your feed.,
suffolk-county-transit-3115,Suffolk County Transit,F,56.7,2026-07-06,current,26841,no,,Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.,
birnie-bus,Birnie Bus,F,58.8,2026-07-06,current,221,no,,Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.,
chenango-first-transit,Chenango First Transit,D,61.2,2026-07-06,current,178,no,,Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.,
north-country-express-transit,North Country Express Transit,D,61.6,2026-07-06,current,159,no,,Review the rule documentation for 'trip_distance_exceeds_shape_distance' at https://gtfs-validator.mobilitydata.org/rules.html and check the flagged rows in your feed.,
city-of-long-beach-transportation,City of Long Beach Transportation,D,62.2,2026-07-06,current,178,no,,Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.,
olean-area-transit-system,Olean Area Transit System,D,62.3,2026-07-06,current,270,no,,Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.,
westchester-county-bee-line-system-wcdot,Westchester County Bee-Line System (WCDOT),D,62.5,2026-07-06,current,71,no,,"Set wheelchair_accessible on every trip (most small-agency fleets are 100% accessible, so this is often a single default).",
rochester-genesee-regional-transportation-authority-rgrta,Rochester-Genesee Regional Transportation Authority (RGRTA),D,62.6,2026-07-06,current,62,no,,Check the trip updates endpoint with your AVL vendor; it should return a fresh GTFS-Realtime protobuf on every request.,
clarkstown-minitrans,Clarkstown MiniTrans,D,63.1,2026-07-06,current,178,no,,Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.,
madison-county-transit,Madison County Transit,D,63.1,2026-07-06,current,221,no,,Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.,
dutchess-county,Dutchess County,D,63.3,2026-07-06,current,9217,no,,Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.,
rochester-genesee-regional-transportation-authority-rgrta-533,Rochester-Genesee Regional Transportation Authority (RGRTA),D,65.0,2026-07-06,current,62,no,,Check the trip updates endpoint with your AVL vendor; it should return a fresh GTFS-Realtime protobuf on every request.,
part-putnam-area-rapid-transit,PART Putnam Area Rapid Transit,D,65.2,2026-07-06,current,178,no,,Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.,
metropolitan-transit-authority-mta-516,NYC Subway,D,65.5,2026-07-06,current,63,no,,Check the trip updates endpoint with your AVL vendor; it should return a fresh GTFS-Realtime protobuf on every request.,
city-of-mechanicville-public-transit,City of Mechanicville Public Transit,D,65.9,2026-07-06,current,81,no,,Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.,
leprechaun-lines,Leprechaun Lines,C,70.2,2026-07-06,current,178,no,,Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.,
metropolitan-transit-authority-mta-511,NYC Subway Supplemented,C,73.4,2026-07-06,current,63,no,,Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.,at_risk
huntington-area-rapid-transit-hart,Huntington Area Rapid Transit (HART),C,73.8,2026-07-06,current,180,no,,Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.,
rensselaer-county-yankee-trails,Rensselaer County (Yankee Trails),C,74.1,2026-07-06,current,178,no,,Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.,
rochester-transit-service,Livingston County,C,76.3,2026-07-06,current,1310,no,,Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.,
columbia-county-public-transportation-3116,Columbia County Public Transportation,C,77.7,2026-07-06,current,1274,no,,Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.,
ny-waterway-3192,NY Waterway,C,78.8,2026-07-06,current,543,no,,Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.,
hudson-link,Hudson Link,B,82.7,2026-07-06,current,87,no,,Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.,
nyc-ferry,NYC Ferry,B,83.9,2026-07-06,current,543,no,,Check the vehicle positions endpoint with your AVL vendor; it should return a fresh GTFS-Realtime protobuf on every request.,
downtown-alliance,Downtown Alliance,A,92.2,2026-07-06,current,117,no,,Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.,
downtown-alliance-519,Downtown Alliance,A,92.2,2026-07-06,current,117,no,,Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.,
roosevelt-island-operating-corporation-tramway-rioc-tramway,Roosevelt Island Operating Corporation Tramway (RIOC Tramway),A,92.9,2026-07-06,current,178,no,,Review the rule documentation for 'equal_shape_distance_diff_coordinates_distance_below_threshold' at https://gtfs-validator.mobilitydata.org/rules.html and check the flagged rows in your feed.,
roosevelt-island-operating-corporation-tramway-rioc-tramway-1109,Roosevelt Island Operating Corporation Tramway (RIOC Tramway),A,92.9,2026-07-06,current,178,no,,Review the rule documentation for 'equal_shape_distance_diff_coordinates_distance_below_threshold' at https://gtfs-validator.mobilitydata.org/rules.html and check the flagged rows in your feed.,
boston-harbor-islands-ferry,Boston Harbor Islands Ferry,A,98.2,2026-07-06,current,98,no,,Remove past service periods the next time you export the feed.,
